participant_id	event_id	condition	trial	sequence	response	NCorrect	partialScore	triggerCorrect
sub-005	28	Simultaneous	1	4297815	2247415	0	4	101011
sub-005	28	Simultaneous	2	6831297	6831429	4	4	1111000
sub-005	28	Simultaneous	3	6028357	6038257	2	5	1101011
sub-005	28	Simultaneous	4	3780649	3780679	5	6	1111101
sub-005	28	Simultaneous	5	8591263	9891253	0	4	11101
sub-005	28	Simultaneous	6	3026854	5026854	0	6	111111
sub-005	28	Simultaneous	7	1926735	1683562	1	1	1000000
sub-005	28	Simultaneous	8	1892345	1892345	7	7	1111111
sub-005	28	Simultaneous	9	2750481	4750381	0	5	111011
sub-005	28	Simultaneous	10	3902561	3902561	7	7	1111111
sub-005	28	Simultaneous	11	8316402	8316402	7	7	1111111
sub-005	28	Simultaneous	12	2541987	2541987	7	7	1111111
sub-005	28	Simultaneous	13	7819406	7819406	7	7	1111111
sub-005	28	Simultaneous	14	7396805	7386905	2	5	1101011
sub-005	28	Simultaneous	15	9310567	9310865	4	5	1111010
sub-005	28	Simultaneous	16	2568173	2568123	5	6	1111101
sub-005	28	Simultaneous	17	3206175	3206175	7	7	1111111
sub-005	28	Simultaneous	18	1628704	1628604	4	6	1111011
sub-005	28	Simultaneous	19	9784123	9768203	2	3	1100001
sub-005	28	Simultaneous	20	2948306	2948306	7	7	1111111
sub-005	28	Simultaneous	21	3587216	2587316	0	5	111011
sub-005	28	Simultaneous	22	8203617	8203713	4	5	1111010
sub-005	28	Simultaneous	23	3045162	3045162	7	7	1111111
sub-005	28	Simultaneous	24	5730846	4530173	0	2	11000
sub-005	28	Simultaneous	25	1437852	1457142	2	4	1101001
sub-005	28	Simultaneous	26	8504192	8504162	5	6	1111101
sub-005	28	Simultaneous	27	3185627	3185165	4	4	1111000
sub-005	28	Simultaneous	28	8762513	8751413	2	4	1100011
sub-005	28	Simultaneous	29	5942387	5742387	1	6	1011111
sub-005	28	Simultaneous	30	1576240	1526987	2	3	1101000
sub-005	28	Simultaneous	31	5840697	5840687	5	6	1111101
sub-005	28	Simultaneous	32	5280769	5280459	4	5	1111001
sub-005	28	Simultaneous	33	3091452	3091452	7	7	1111111
sub-005	28	Simultaneous	34	6418275	6417191	3	3	1110000
sub-005	28	Simultaneous	35	6785321	6785321	7	7	1111111
sub-005	28	Simultaneous	36	9380176	2380167	0	4	111100
sub-005	28	Simultaneous	37	3196804	3189804	2	5	1100111
sub-005	28	Simultaneous	38	6082193	6082903	4	5	1111001
sub-005	28	Simultaneous	39	4382790	4382790	7	7	1111111
sub-005	28	Simultaneous	40	958274	958743	4	4	1111000
sub-005	28	Simultaneous	41	2507469	2703439	1	4	1010101
sub-005	28	Simultaneous	42	4259160	4259403	4	4	1111000
sub-005	28	Simultaneous	43	2813479	2815359	3	4	1110001
sub-005	28	Simultaneous	44	127693	187532	2	3	1101000
sub-005	28	Simultaneous	45	3924850	3954064	2	3	1101000
sub-005	28	Simultaneous	46	5703982	5703472	4	5	1111001
sub-005	28	Simultaneous	47	8063754	8063073	4	4	1111000
sub-005	28	Simultaneous	48	4913067	4913063	6	6	1111110
sub-005	28	Simultaneous	49	1526074	1526074	7	7	1111111
sub-005	28	Simultaneous	50	1920647	1920674	5	5	1111100
sub-005	40	Fast	51	8957621	8756325	1	3	1010010
sub-005	40	Fast	52	9215386	9215632	4	4	1111000
sub-005	40	Fast	53	947386	947386	7	7	1111111
sub-005	40	Fast	54	6940185	6940186	6	6	1111110
sub-005	40	Fast	55	3415087	3415082	6	6	1111110
sub-005	40	Fast	56	7205146	7205148	6	6	1111110
sub-005	40	Fast	57	4560798	4216790	1	3	1000110
sub-005	40	Fast	58	6408953	6408953	7	7	1111111
sub-005	40	Fast	59	9307826	9307825	6	6	1111110
sub-005	40	Fast	60	4169873	6182456	0	1	100000
sub-005	40	Fast	61	3469201	3469205	6	6	1111110
sub-005	40	Fast	62	1472035	1472035	7	7	1111111
sub-005	40	Fast	63	2408763	2408763	7	7	1111111
sub-005	40	Fast	64	437692	473964	2	2	1100000
sub-005	40	Fast	65	5807392	5807395	6	6	1111110
sub-005	40	Fast	66	8027316	8097312	2	5	1101110
sub-005	40	Fast	67	793642	793652	5	6	1111101
sub-005	40	Fast	68	2561809	2561803	6	6	1111110
sub-005	40	Fast	69	6935201	2965209	0	4	101110
sub-005	40	Fast	70	9864170	9861173	3	5	1110110
sub-005	40	Fast	71	4597283	3698521	0	1	10000
sub-005	40	Fast	72	1847096	2279365	0	0	0
sub-005	40	Fast	73	4986325	6325896	0	0	0
sub-005	40	Fast	74	137426	2563985	0	0	0
sub-005	40	Fast	75	5461098	5461093	6	6	1111110
sub-005	40	Fast	76	9746532	4754065	0	1	100000
