participant_id	event_id	condition	trial	sequence	response	NCorrect	partialScore	triggerCorrect
sub-011	60	Fast+delay	1	6218749	6218749	7	7	1111111
sub-011	60	Fast+delay	2	751698	751698	7	7	1111111
sub-011	60	Fast+delay	3	9846513	9816543	2	5	1101101
sub-011	60	Fast+delay	4	7160432	7160432	7	7	1111111
sub-011	60	Fast+delay	5	1748259	7148256	0	4	11110
sub-011	60	Fast+delay	6	7412359	7432509	2	4	1101001
sub-011	60	Fast+delay	7	7456398	7456398	7	7	1111111
sub-011	60	Fast+delay	8	5162934	5162903	5	5	1111100
sub-011	60	Fast+delay	9	8602714	8602714	7	7	1111111
sub-011	60	Fast+delay	10	9013748	9013748	7	7	1111111
sub-011	60	Fast+delay	11	8540936	8540963	5	5	1111100
sub-011	60	Fast+delay	12	6419327	6459127	2	5	1101011
sub-011	60	Fast+delay	13	2375849	2375846	6	6	1111110
sub-011	60	Fast+delay	14	7863410	7863412	6	6	1111110
sub-011	60	Fast+delay	15	8693542	8635420	2	2	1100000
sub-011	60	Fast+delay	16	3658049	3658049	7	7	1111111
sub-011	60	Fast+delay	17	7059216	7059216	7	7	1111111
sub-011	60	Fast+delay	18	1049276	1049276	7	7	1111111
sub-011	60	Fast+delay	19	9574032	9574036	6	6	1111110
sub-011	60	Fast+delay	20	8702365	8702369	6	6	1111110
sub-011	60	Fast+delay	21	8390567	8390567	7	7	1111111
sub-011	60	Fast+delay	22	529384	529384	7	7	1111111
sub-011	60	Fast+delay	23	1984352	1984352	7	7	1111111
sub-011	60	Fast+delay	24	7615803	7615803	7	7	1111111
sub-011	60	Fast+delay	25	748635	748635	7	7	1111111
sub-011	60	Fast+delay	26	5861027	5861027	7	7	1111111
sub-011	60	Fast+delay	27	692453	869258	1	2	1000010
sub-011	60	Fast+delay	28	195372	195372	7	7	1111111
sub-011	60	Fast+delay	29	5134790	5134790	7	7	1111111
sub-011	60	Fast+delay	30	937124	937124	7	7	1111111
sub-011	60	Fast+delay	31	3842906	3849206	3	5	1110011
sub-011	60	Fast+delay	32	3250169	3250689	4	5	1111001
sub-011	60	Fast+delay	33	5790328	5790328	7	7	1111111
sub-011	60	Fast+delay	34	2930581	2930581	7	7	1111111
sub-011	60	Fast+delay	35	4751068	4751068	7	7	1111111
sub-011	60	Fast+delay	36	9562704	9562807	4	5	1111010
sub-011	60	Fast+delay	37	2780594	2780594	7	7	1111111
sub-011	60	Fast+delay	38	4983527	4983562	5	5	1111100
sub-011	60	Fast+delay	39	5360741	5360179	4	4	1111000
sub-011	60	Fast+delay	40	5917342	8917342	0	6	111111
sub-011	60	Fast+delay	41	5876930	5876930	7	7	1111111
sub-011	60	Fast+delay	42	4752318	4752318	7	7	1111111
sub-011	60	Fast+delay	43	932147	930027	3	4	1110001
sub-011	60	Fast+delay	44	1429803	1429803	7	7	1111111
sub-011	60	Fast+delay	45	8306412	8306412	7	7	1111111
sub-011	60	Fast+delay	46	9738546	9238546	1	6	1011111
sub-011	60	Fast+delay	47	5694127	5496119	1	3	1010100
sub-011	60	Fast+delay	48	1932657	1235629	1	3	1010100
sub-011	60	Fast+delay	49	7605413	7605413	7	7	1111111
sub-011	60	Fast+delay	50	3701569	3701569	7	7	1111111
sub-011	40	Fast	51	9372450	9372450	7	7	1111111
sub-011	40	Fast	52	2386097	2386097	7	7	1111111
sub-011	40	Fast	53	6738910	6738910	7	7	1111111
sub-011	40	Fast	54	7149352	7149365	5	5	1111100
sub-011	40	Fast	55	5693180	5693180	7	7	1111111
sub-011	40	Fast	56	2415978	2415976	6	6	1111110
sub-011	40	Fast	57	7108453	7108453	7	7	1111111
sub-011	40	Fast	58	5720914	5720914	7	7	1111111
sub-011	40	Fast	59	7246190	7549210	1	3	1010001
sub-011	40	Fast	60	876519	876519	7	7	1111111
sub-011	40	Fast	61	8104952	8104753	4	5	1111010
sub-011	40	Fast	62	9578413	9578413	7	7	1111111
sub-011	40	Fast	63	4382056	4382056	7	7	1111111
sub-011	40	Fast	64	9543802	9543802	7	7	1111111
sub-011	40	Fast	65	5647230	5640798	3	3	1110000
sub-011	40	Fast	66	2754908	2754908	7	7	1111111
sub-011	40	Fast	67	5827364	5827394	5	6	1111101
sub-011	40	Fast	68	1645239	1645893	4	4	1111000
sub-011	40	Fast	69	8149706	8149053	4	4	1111000
sub-011	40	Fast	70	3508147	3508147	7	7	1111111
sub-011	40	Fast	71	2197805	2197806	6	6	1111110
sub-011	40	Fast	72	9647285	8540973	0	1	10000
sub-011	40	Fast	73	7103489	7104369	3	4	1110001
sub-011	40	Fast	74	7251846	7256843	3	5	1110110
sub-011	40	Fast	75	9651723	9651273	4	5	1111001
sub-011	40	Fast	76	9740531	9740513	5	5	1111100
sub-011	40	Fast	77	1439560	1439560	7	7	1111111
sub-011	40	Fast	78	8075361	8075617	4	4	1111000
sub-011	40	Fast	79	2067851	2067518	4	4	1111000
sub-011	40	Fast	80	5937218	5237891	1	3	1011000
sub-011	40	Fast	81	7365012	7365081	5	5	1111100
sub-011	40	Fast	82	178356	178356	7	7	1111111
sub-011	40	Fast	83	8795264	8295360	1	4	1011010
sub-011	40	Fast	84	6274109	6274109	7	7	1111111
sub-011	40	Fast	85	8502374	8502379	6	6	1111110
sub-011	40	Fast	86	2086473	2084673	3	5	1110011
sub-011	40	Fast	87	1356408	1358409	3	5	1110110
sub-011	40	Fast	88	7192543	7192543	7	7	1111111
sub-011	40	Fast	89	9740215	9730415	2	5	1101011
sub-011	40	Fast	90	5760823	5840369	1	2	1001000
sub-011	40	Fast	91	1674359	1340569	1	2	1000001
sub-011	40	Fast	92	2714508	2714508	7	7	1111111
sub-011	40	Fast	93	5071932	5071932	7	7	1111111
sub-011	40	Fast	94	532781	5728469	0	0	0
sub-011	40	Fast	95	256173	256173	7	7	1111111
sub-011	40	Fast	96	8392567	8397451	3	3	1110000
sub-011	40	Fast	97	2486197	7485316	0	2	110000
sub-011	40	Fast	98	2067189	2061718	3	3	1110000
sub-011	40	Fast	99	6124357	2407659	0	1	10
sub-011	40	Fast	100	5261938	5260937	3	5	1110110
sub-011	28	Simultaneous	101	4035186	4035186	7	7	1111111
sub-011	28	Simultaneous	102	5963180	5963180	7	7	1111111
sub-011	28	Simultaneous	103	6458230	6458230	7	7	1111111
sub-011	28	Simultaneous	104	2764105	8764105	0	6	111111
sub-011	28	Simultaneous	105	1376059	1376059	7	7	1111111
sub-011	28	Simultaneous	106	8635794	8635792	6	6	1111110
sub-011	28	Simultaneous	107	6715289	6175289	1	5	1001111
sub-011	28	Simultaneous	108	6510973	6510972	6	6	1111110
sub-011	28	Simultaneous	109	1968270	1968270	7	7	1111111
sub-011	28	Simultaneous	110	9547360	9548260	3	5	1110011
sub-011	28	Simultaneous	111	6431872	6431872	7	7	1111111
sub-011	28	Simultaneous	112	2601954	2601954	7	7	1111111
sub-011	28	Simultaneous	113	2140589	2140589	7	7	1111111
sub-011	28	Simultaneous	114	189237	189237	7	7	1111111
sub-011	28	Simultaneous	115	6951324	6950324	3	6	1110111
sub-011	28	Simultaneous	116	3846719	6843519	0	4	110011
sub-011	28	Simultaneous	117	7620189	7620189	7	7	1111111
sub-011	28	Simultaneous	118	6830947	6830947	7	7	1111111
sub-011	28	Simultaneous	119	4961270	4691270	1	5	1001111
sub-011	28	Simultaneous	120	1624358	1624758	4	6	1111011
sub-011	28	Simultaneous	121	5368149	5368149	7	7	1111111
sub-011	28	Simultaneous	122	354712	354712	7	7	1111111
sub-011	28	Simultaneous	123	6345780	6345780	7	7	1111111
sub-011	28	Simultaneous	124	8976430	8976430	7	7	1111111
sub-011	28	Simultaneous	125	3827469	3287469	1	5	1001111
sub-011	28	Simultaneous	126	4805361	4805361	7	7	1111111
sub-011	28	Simultaneous	127	6045971	6045971	7	7	1111111
sub-011	28	Simultaneous	128	1480237	1480237	7	7	1111111
sub-011	28	Simultaneous	129	5137968	7135960	0	4	110110
sub-011	28	Simultaneous	130	4536297	4536297	7	7	1111111
sub-011	28	Simultaneous	131	8913560	8913650	4	5	1111001
sub-011	28	Simultaneous	132	7645210	7546210	1	5	1010111
sub-011	28	Simultaneous	133	2890351	2890351	7	7	1111111
sub-011	28	Simultaneous	134	3910865	3910865	7	7	1111111
sub-011	28	Simultaneous	135	3902451	3902451	7	7	1111111
sub-011	28	Simultaneous	136	5420973	5420873	4	6	1111011
sub-011	28	Simultaneous	137	6701294	6701294	7	7	1111111
sub-011	28	Simultaneous	138	241578	241578	7	7	1111111
sub-011	28	Simultaneous	139	6409273	6409273	7	7	1111111
sub-011	28	Simultaneous	140	5179428	5179428	7	7	1111111
sub-011	28	Simultaneous	141	5831726	5831726	7	7	1111111
sub-011	28	Simultaneous	142	1873504	1873504	7	7	1111111
sub-011	28	Simultaneous	143	4870539	4870539	7	7	1111111
sub-011	28	Simultaneous	144	9840756	9840756	7	7	1111111
sub-011	28	Simultaneous	145	9021348	9021348	7	7	1111111
sub-011	28	Simultaneous	146	9632485	9632485	7	7	1111111
sub-011	28	Simultaneous	147	5324871	5324871	7	7	1111111
sub-011	28	Simultaneous	148	7620843	7620843	7	7	1111111
sub-011	28	Simultaneous	149	2431867	2471893	2	4	1101100
sub-011	28	Simultaneous	150	9327510	9327510	7	7	1111111
sub-011	100	Slow	151	4239670	4239260	4	5	1111001
sub-011	100	Slow	152	735628	356780	1	1	1000000
sub-011	100	Slow	153	4697153	4697153	7	7	1111111
sub-011	100	Slow	154	5392481	5398246	3	3	1110000
sub-011	100	Slow	155	3690741	3690741	7	7	1111111
sub-011	100	Slow	156	195784	195748	5	5	1111100
sub-011	100	Slow	157	5786093	5786093	7	7	1111111
sub-011	100	Slow	158	3964082	3964072	5	6	1111101
