participant_id	event_id	condition	trial	sequence	response	NCorrect	partialScore	triggerCorrect
sub-004	28	Simultaneous	1	5438967	5438967	7	7	1111111
sub-004	28	Simultaneous	2	439816	439816	7	7	1111111
sub-004	28	Simultaneous	3	4295013	4295013	7	7	1111111
sub-004	28	Simultaneous	4	8762094	8762014	5	6	1111101
sub-004	28	Simultaneous	5	4589012	4589012	7	7	1111111
sub-004	28	Simultaneous	6	9786531	9786531	7	7	1111111
sub-004	28	Simultaneous	7	6480375	6480375	7	7	1111111
sub-004	28	Simultaneous	8	3156472	3156427	5	5	1111100
sub-004	28	Simultaneous	9	7245093	7245093	7	7	1111111
sub-004	28	Simultaneous	10	7148903	7148903	7	7	1111111
sub-004	28	Simultaneous	11	3425978	3425978	7	7	1111111
sub-004	28	Simultaneous	12	8359207	8359207	7	7	1111111
sub-004	28	Simultaneous	13	8327016	8327016	7	7	1111111
sub-004	28	Simultaneous	14	9574106	9574106	7	7	1111111
sub-004	28	Simultaneous	15	142538	142538	7	7	1111111
sub-004	28	Simultaneous	16	3146598	3146598	7	7	1111111
sub-004	28	Simultaneous	17	4062937	4052937	2	6	1101111
sub-004	28	Simultaneous	18	9180736	9180736	7	7	1111111
sub-004	28	Simultaneous	19	472951	472951	7	7	1111111
sub-004	28	Simultaneous	20	9026815	9026815	7	7	1111111
sub-004	28	Simultaneous	21	4132875	4132875	7	7	1111111
sub-004	28	Simultaneous	22	5968021	5968027	6	6	1111110
sub-004	28	Simultaneous	23	3801954	3801954	7	7	1111111
sub-004	28	Simultaneous	24	1578902	1578902	7	7	1111111
sub-004	28	Simultaneous	25	8340695	8340695	7	7	1111111
sub-004	28	Simultaneous	26	3608179	3608179	7	7	1111111
sub-004	28	Simultaneous	27	3079541	3609541	1	5	1001111
sub-004	28	Simultaneous	28	326784	326784	7	7	1111111
sub-004	28	Simultaneous	29	8712546	8712546	7	7	1111111
sub-004	28	Simultaneous	30	1493862	1493862	7	7	1111111
sub-004	28	Simultaneous	31	9506813	9506813	7	7	1111111
sub-004	28	Simultaneous	32	2165948	2165948	7	7	1111111
sub-004	28	Simultaneous	33	3927851	3485971	1	2	1000001
sub-004	28	Simultaneous	34	7018593	7059841	2	2	1100000
sub-004	28	Simultaneous	35	5413670	5413670	7	7	1111111
sub-004	28	Simultaneous	36	5294807	5294807	7	7	1111111
sub-004	28	Simultaneous	37	897425	897425	7	7	1111111
sub-004	28	Simultaneous	38	6239501	6239501	7	7	1111111
sub-004	28	Simultaneous	39	2810964	2810964	7	7	1111111
sub-004	28	Simultaneous	40	4925736	4925736	7	7	1111111
sub-004	28	Simultaneous	41	4376852	4376852	7	7	1111111
sub-004	28	Simultaneous	42	9318240	9318240	7	7	1111111
sub-004	28	Simultaneous	43	1987354	1987354	7	7	1111111
sub-004	28	Simultaneous	44	1268450	1268450	7	7	1111111
sub-004	28	Simultaneous	45	2498170	2498170	7	7	1111111
sub-004	28	Simultaneous	46	4897302	4897302	7	7	1111111
sub-004	28	Simultaneous	47	1349605	1379605	2	6	1101111
sub-004	28	Simultaneous	48	3295480	3295480	7	7	1111111
sub-004	28	Simultaneous	49	3261487	3261487	7	7	1111111
sub-004	28	Simultaneous	50	3951207	3951207	7	7	1111111
sub-004	40	Fast	51	1285640	1246580	2	3	1100001
sub-004	40	Fast	52	2839541	2834561	3	5	1110101
sub-004	40	Fast	53	2683710	2675301	2	2	1100000
sub-004	40	Fast	54	4619725	4619725	7	7	1111111
sub-004	40	Fast	55	7013258	7013258	7	7	1111111
