participant_id	event_id	condition	trial	sequence	response	NCorrect	partialScore	triggerCorrect
sub-034	60	Fast+delay	1	291647	291647	7	7	1111111
sub-034	60	Fast+delay	2	7948320	7348920	1	5	1011011
sub-034	60	Fast+delay	3	4796382	4796380	6	6	1111110
sub-034	60	Fast+delay	4	2685471	2685471	7	7	1111111
sub-034	60	Fast+delay	5	1856407	1856407	7	7	1111111
sub-034	60	Fast+delay	6	2610943	2610943	7	7	1111111
sub-034	60	Fast+delay	7	2743689	2743689	7	7	1111111
sub-034	60	Fast+delay	8	5389201	5382901	3	5	1110011
sub-034	60	Fast+delay	9	7013524	7013524	7	7	1111111
sub-034	60	Fast+delay	10	5049386	5049386	7	7	1111111
sub-034	60	Fast+delay	11	7985406	7985064	4	4	1111000
sub-034	60	Fast+delay	12	9364257	9364257	7	7	1111111
sub-034	60	Fast+delay	13	9468572	9365872	1	4	1010011
sub-034	60	Fast+delay	14	9243518	9243512	6	6	1111110
sub-034	60	Fast+delay	15	8327904	8327904	7	7	1111111
sub-034	60	Fast+delay	16	5730641	5730641	7	7	1111111
sub-034	60	Fast+delay	17	3128947	3128947	7	7	1111111
sub-034	60	Fast+delay	18	5642710	5642710	7	7	1111111
sub-034	60	Fast+delay	19	541297	541297	7	7	1111111
sub-034	60	Fast+delay	20	2316549	2316549	7	7	1111111
sub-034	60	Fast+delay	21	8426735	8426735	7	7	1111111
sub-034	60	Fast+delay	22	6201438	6201438	7	7	1111111
sub-034	60	Fast+delay	23	984156	914832	2	3	1101000
sub-034	60	Fast+delay	24	3760842	842376	0	0	0
sub-034	60	Fast+delay	25	7031698	7031698	7	7	1111111
sub-034	60	Fast+delay	26	5982034	5982034	7	7	1111111
sub-034	60	Fast+delay	27	8613042	8613042	7	7	1111111
sub-034	60	Fast+delay	28	3459026	3459026	7	7	1111111
sub-034	60	Fast+delay	29	1579340	1579034	4	4	1111000
sub-034	60	Fast+delay	30	7896410	7896440	5	6	1111101
sub-034	60	Fast+delay	31	7596183	7596183	7	7	1111111
sub-034	60	Fast+delay	32	4625197	4625197	7	7	1111111
sub-034	60	Fast+delay	33	8103657	8103657	7	7	1111111
sub-034	60	Fast+delay	34	6249518	6249518	7	7	1111111
sub-034	60	Fast+delay	35	8460253	8460253	7	7	1111111
sub-034	60	Fast+delay	36	7698521	7698502	5	5	1111100
sub-034	60	Fast+delay	37	8532607	8532607	7	7	1111111
sub-034	60	Fast+delay	38	5794106	5796520	3	3	1110000
sub-034	60	Fast+delay	39	1456908	1456908	7	7	1111111
sub-034	60	Fast+delay	40	5102467	5102467	7	7	1111111
sub-034	60	Fast+delay	41	1230798	1230798	7	7	1111111
sub-034	60	Fast+delay	42	5479023	5479023	7	7	1111111
sub-034	60	Fast+delay	43	4859763	4859763	7	7	1111111
sub-034	60	Fast+delay	44	8954316	8954215	4	5	1111010
sub-034	60	Fast+delay	45	7104865	7104865	7	7	1111111
sub-034	60	Fast+delay	46	4915267	4915267	7	7	1111111
sub-034	60	Fast+delay	47	6075294	6075294	7	7	1111111
sub-034	60	Fast+delay	48	4239617	4260549	2	2	1100000
sub-034	60	Fast+delay	49	2306194	2306194	7	7	1111111
sub-034	60	Fast+delay	50	3975182	3975182	7	7	1111111
sub-034	100	Slow	51	4671952	2354323	0	0	0
sub-034	100	Slow	52	7863540	7863540	7	7	1111111
sub-034	100	Slow	53	7214960	7214960	7	7	1111111
sub-034	100	Slow	54	469531	469531	7	7	1111111
sub-034	100	Slow	55	5207164	5207164	7	7	1111111
sub-034	100	Slow	56	3814275	3874215	2	5	1101101
sub-034	100	Slow	57	5046297	5046297	7	7	1111111
sub-034	100	Slow	58	9021758	9021758	7	7	1111111
sub-034	100	Slow	59	3954782	3954782	7	7	1111111
sub-034	100	Slow	60	8957643	8954785	3	3	1110000
sub-034	100	Slow	61	4803265	4803265	7	7	1111111
sub-034	100	Slow	62	7850163	7850163	7	7	1111111
sub-034	100	Slow	63	635972	635972	7	7	1111111
sub-034	100	Slow	64	9421508	9421508	7	7	1111111
sub-034	100	Slow	65	1460258	1460258	7	7	1111111
sub-034	100	Slow	66	8603194	8603194	7	7	1111111
sub-034	100	Slow	67	6473081	6473081	7	7	1111111
sub-034	100	Slow	68	8437125	8437125	7	7	1111111
sub-034	100	Slow	69	5247891	5247821	5	6	1111101
sub-034	100	Slow	70	7861940	7863091	3	3	1110000
sub-034	100	Slow	71	3879401	3879401	7	7	1111111
sub-034	100	Slow	72	1783620	1783620	7	7	1111111
sub-034	100	Slow	73	2506198	2506198	7	7	1111111
sub-034	100	Slow	74	8245013	8245023	5	6	1111101
sub-034	100	Slow	75	4901582	4901582	7	7	1111111
sub-034	100	Slow	76	9867510	9865701	3	3	1110000
sub-034	100	Slow	77	9824016	9824016	7	7	1111111
sub-034	100	Slow	78	4703296	4703296	7	7	1111111
sub-034	100	Slow	79	2397158	2397158	7	7	1111111
sub-034	100	Slow	80	8426170	8426170	7	7	1111111
sub-034	100	Slow	81	2853617	2813657	2	5	1101101
sub-034	100	Slow	82	435981	435981	7	7	1111111
sub-034	100	Slow	83	6734129	6734123	6	6	1111110
sub-034	100	Slow	84	5638140	5638140	7	7	1111111
