participant_id	event_id	condition	trial	sequence	response	NCorrect	partialScore	triggerCorrect
sub-018	40	Fast	1	4230598	4230598	7	7	1111111
sub-018	40	Fast	2	472153	478213	3	4	1110001
sub-018	40	Fast	3	2603984	2360984	1	4	1000111
sub-018	40	Fast	4	1769428	1692748	1	2	1000001
sub-018	40	Fast	5	542367	542367	7	7	1111111
sub-018	40	Fast	6	2450816	2450816	7	7	1111111
sub-018	40	Fast	7	6085239	6082539	3	5	1110011
sub-018	40	Fast	8	6047391	6039271	2	3	1100001
sub-018	40	Fast	9	6125394	6125739	4	4	1111000
sub-018	40	Fast	10	2715809	2710589	3	4	1110001
sub-018	40	Fast	11	7685413	6897413	0	3	111
sub-018	40	Fast	12	1653807	1653807	7	7	1111111
sub-018	40	Fast	13	6024179	6024179	7	7	1111111
sub-018	40	Fast	14	4786092	4168902	1	2	1000001
sub-018	40	Fast	15	681732	368172	1	2	1000001
sub-018	40	Fast	16	6802431	6802314	4	4	1111000
sub-018	40	Fast	17	1650328	1650328	7	7	1111111
sub-018	40	Fast	18	6375029	6307519	2	3	1100001
sub-018	40	Fast	19	6473851	6385319	1	1	1000000
sub-018	40	Fast	20	3987150	3789150	1	5	1010111
sub-018	40	Fast	21	6893127	6893127	7	7	1111111
sub-018	40	Fast	22	9783602	9362870	1	1	1000000
sub-018	40	Fast	23	7289450	8249510	0	3	101001
sub-018	40	Fast	24	4209583	4209583	7	7	1111111
sub-018	40	Fast	25	5489317	5489310	6	6	1111110
sub-018	40	Fast	26	1237098	1237098	7	7	1111111
sub-018	40	Fast	27	6750381	5760381	0	5	101111
sub-018	40	Fast	28	5760492	5760492	7	7	1111111
sub-018	40	Fast	29	8162054	8162074	5	6	1111101
sub-018	40	Fast	30	748396	748395	6	6	1111110
sub-018	40	Fast	31	9137604	8137604	0	6	111111
sub-018	40	Fast	32	5237189	5237189	7	7	1111111
sub-018	40	Fast	33	839521	839521	7	7	1111111
sub-018	40	Fast	34	9074613	9074163	4	5	1111001
sub-018	40	Fast	35	4521693	4561293	2	5	1101011
sub-018	40	Fast	36	1785239	1725839	2	5	1101011
sub-018	40	Fast	37	8524736	8524731	6	6	1111110
sub-018	40	Fast	38	1764035	1764035	7	7	1111111
sub-018	40	Fast	39	2167039	2167039	7	7	1111111
sub-018	40	Fast	40	3765281	2765781	0	5	111011
sub-018	40	Fast	41	8970412	8970412	7	7	1111111
sub-018	40	Fast	42	8714693	8714293	4	6	1111011
sub-018	40	Fast	43	7031984	7098314	2	3	1100001
