participant_id	event_id	condition	trial	sequence	response	NCorrect	partialScore	triggerCorrect
sub-026	28	Simultaneous	1	2675904	2675904	7	7	1111111
sub-026	28	Simultaneous	2	7834916	7834917	6	6	1111110
sub-026	28	Simultaneous	3	9817063	9817063	7	7	1111111
sub-026	28	Simultaneous	4	8925460	8945960	2	5	1101011
sub-026	28	Simultaneous	5	4812753	4812753	7	7	1111111
sub-026	28	Simultaneous	6	6794051	6794051	7	7	1111111
sub-026	28	Simultaneous	7	274316	274316	7	7	1111111
sub-026	28	Simultaneous	8	1320547	1320547	7	7	1111111
sub-026	28	Simultaneous	9	158346	158346	7	7	1111111
sub-026	28	Simultaneous	10	2475983	2475983	7	7	1111111
sub-026	28	Simultaneous	11	5026847	5026847	7	7	1111111
sub-026	28	Simultaneous	12	1087694	1087694	7	7	1111111
sub-026	28	Simultaneous	13	9780431	9780431	7	7	1111111
sub-026	28	Simultaneous	14	159728	159728	7	7	1111111
sub-026	28	Simultaneous	15	4371208	4371208	7	7	1111111
sub-026	28	Simultaneous	16	3061895	3068195	3	5	1110011
sub-026	28	Simultaneous	17	9304152	9304152	7	7	1111111
sub-026	28	Simultaneous	18	9560142	9560142	7	7	1111111
sub-026	28	Simultaneous	19	2761539	2763514	3	4	1110100
sub-026	28	Simultaneous	20	3425069	3425069	7	7	1111111
sub-026	28	Simultaneous	21	5173948	5173948	7	7	1111111
sub-026	28	Simultaneous	22	3195874	3195874	7	7	1111111
sub-026	28	Simultaneous	23	9054813	9051843	3	5	1110101
sub-026	28	Simultaneous	24	8291504	8291504	7	7	1111111
sub-026	28	Simultaneous	25	7519364	7519364	7	7	1111111
sub-026	28	Simultaneous	26	7648512	7648512	7	7	1111111
sub-026	28	Simultaneous	27	659781	659781	7	7	1111111
sub-026	28	Simultaneous	28	5678103	5678103	7	7	1111111
sub-026	28	Simultaneous	29	2861054	2861054	7	7	1111111
sub-026	28	Simultaneous	30	5208641	5208641	7	7	1111111
sub-026	28	Simultaneous	31	4976130	4976130	7	7	1111111
sub-026	28	Simultaneous	32	8731065	8731065	7	7	1111111
