participant_id	event_id	condition	trial	sequence	response	NCorrect	partialScore	triggerCorrect
sub-002	60	Fast+delay	1	8261704	8260174	3	4	1110001
sub-002	60	Fast+delay	2	392185	192045	1	4	1011001
sub-002	60	Fast+delay	3	9705243	9705943	4	6	1111011
sub-002	60	Fast+delay	4	7836095	5769035	0	2	101
sub-002	60	Fast+delay	5	3659428	5942035	0	0	0
sub-002	60	Fast+delay	6	2970853	9700853	0	4	1111
sub-002	60	Fast+delay	7	7542891	7540791	3	5	1110011
sub-002	60	Fast+delay	8	5964107	5904107	2	6	1101111
sub-002	60	Fast+delay	9	9615720	9615160	4	5	1111001
sub-002	60	Fast+delay	10	3729845	3725945	3	5	1110011
sub-002	60	Fast+delay	11	682493	692493	2	6	1101111
sub-002	60	Fast+delay	12	2491708	2491708	7	7	1111111
sub-002	60	Fast+delay	13	824596	594786	1	3	1001001
sub-002	60	Fast+delay	14	3018546	3018596	5	6	1111101
sub-002	60	Fast+delay	15	6094357	6094356	6	6	1111110
sub-002	60	Fast+delay	16	9738046	9738063	5	5	1111100
sub-002	60	Fast+delay	17	6408913	6408913	7	7	1111111
sub-002	60	Fast+delay	18	3417058	3418058	3	6	1110111
sub-002	60	Fast+delay	19	8203145	8203145	7	7	1111111
sub-002	60	Fast+delay	20	794268	794268	7	7	1111111
sub-002	60	Fast+delay	21	1092365	1092365	7	7	1111111
sub-002	60	Fast+delay	22	6928014	6917014	2	5	1100111
sub-002	60	Fast+delay	23	4603582	4603582	7	7	1111111
sub-002	60	Fast+delay	24	9760231	9360231	1	6	1011111
sub-002	60	Fast+delay	25	1674590	1574690	1	5	1011011
sub-002	60	Fast+delay	26	4501783	4501783	7	7	1111111
sub-002	60	Fast+delay	27	718249	718249	7	7	1111111
sub-002	60	Fast+delay	28	2563897	2563896	6	6	1111110
sub-002	60	Fast+delay	29	5148290	5148290	7	7	1111111
sub-002	60	Fast+delay	30	2681450	2681450	7	7	1111111
sub-002	60	Fast+delay	31	6423985	9425320	0	2	110000
