name	x	y	z	impedance
Fp1	-0.029207486686902026	0.09419543061348508	0.03367908768313772	7.0
Fz	6.757734407667314e-34	0.07911099356426332	0.10651798195241065	20.0
F3	-0.05387106582548459	0.07334305573417944	0.08509472288213464	6.0
F7	-0.07647313914777207	0.05942868948417961	0.03330918466691925	23.0
FT9	-0.07832001029188035	0.025959434952102328	-0.0021441739829827777	19.0
FC5	-0.08521764268759469	0.03955195620112589	0.07090291502593556	10.0
FC1	-0.03615742149960805	0.049019980242054055	0.1232231662746692	15.0
C3	-0.07060319609054254	0.011283678633299519	0.11053108986028158	17.0
T7	-0.09448424906785226	0.003824416473933323	0.03746268700847042	12.0
TP9	-0.07832001029188036	-0.02585720536027241	0.0031455804008850147	19.0
CP5	-0.08521764268759469	-0.024408991418178004	0.07743243336262999	22.0
CP1	-0.03615742149960806	-0.023109554050016152	0.1305865830830087	19.0
Pz	8.313414937020798e-18	-0.055955398897231834	0.12030637188524414	10.0
P3	-0.0538710658254846	-0.05463535915940972	0.0981595294219392	2.0
P7	-0.07647313914777208	-0.051472126628754764	0.04463060718044742	8.0
O1	-0.029207486686901967	-0.08544694993286477	0.052018062659030945	20.0
Oz	1.1631575993610045e-17	-0.08986228446111785	0.054957312832804854	21.0
O2	0.029207486686902037	-0.08544694993286474	0.052018062659030945	18.0
P4	0.05380643134709381	-0.054669481374490014	0.09818803416799043	13.0
P8	0.07642871856791658	-0.05153294169958922	0.044641796153583345	21.0
TP10	0.07832001029188036	-0.025857205360272403	0.0031455804008850147	1.0
CP6	0.08521764268759469	-0.02440899141817797	0.07743243336262999	11.0
CP2	0.03615742149960805	-0.023109554050016152	0.1305865830830087	2.0
Cz	3.0837884857159925e-34	0.014476416415069929	0.14180606658779488	20.0
C4	0.07059875842035244	0.0112841792012351	0.11053599325404764	19.0
T8	0.09448424906785226	0.003824416473933323	0.03746268700847042	9.0
FT10	0.07832001029188036	0.02595943495210232	-0.0021441739829827777	19.0
FC6	0.08521764268759469	0.03955195620112591	0.07090291502593556	22.0
FC2	0.03615742149960805	0.04901998024205406	0.1232231662746692	11.0
F4	0.05380643134709379	0.07338223391708788	0.08511574468256719	18.0
F8	0.07642871856791658	0.059490510966848625	0.033307854162863935	21.0
Fp2	0.029207486686902023	0.09419543061348508	0.03367908768313772	16.0
AF7	-0.05555759970487477	0.08052745189631597	0.03287488009056808	13.0
AF3	-0.035186655245360764	0.0918664843020212	0.06183235468961738	21.0
AFz	1.2356833638510285e-33	0.09624762755548186	0.07313371508384284	19.0
F1	-0.02910586908291365	0.07761601994516508	0.10096110703361083	20.0
F5	-0.07047683620155384	0.06696886916926952	0.061317817865229315	22.0
FT7	-0.08987001599562013	0.03300190319303792	0.03486209136928371	23.0
FC3	-0.06624850502033504	0.045202420083340536	0.10212492219504127	20.0
C1	-0.038600594506180495	0.013644080400227146	0.1336527852120708	7.0
C5	-0.09034114193714539	0.007812675468187747	0.07653031979083968	21.0
TP7	-0.08987001599562013	-0.025276685640502942	0.04081152033475504	23.0
CP3	-0.06624850502033504	-0.023633984794694418	0.10915215654057493	20.0
P1	-0.029105869082913634	-0.05561412032707209	0.11456204129565095	10.0
P5	-0.07047683620155384	-0.05319716873160908	0.07358508996056799	13.0
PO7	-0.05555759970487475	-0.07222341925081484	0.04846860800150698	13.0
PO3	-0.0351866552453608	-0.0774772220726638	0.07911997904688356	9.0
POz	1.0816406418118284e-17	-0.07948436770279169	0.09107349440375538	24.0
PO4	0.03518665524536078	-0.0774772220726638	0.07911997904688356	10.0
PO8	0.05551230450201199	-0.07225590667604068	0.04847857484786849	21.0
P6	0.0704617672546428	-0.05317511019481162	0.07367401549778199	7.0
P2	0.02908725428240028	-0.055565823755206786	0.11461345459637967	17.0
CPz	4.506914815503775e-18	-0.02288840068676775	0.13816407802229408	6.0
CP4	0.06624850502033502	-0.023633984794694432	0.10915215654057495	2.0
TP8	0.08984217295728499	-0.025362262705919517	0.04082357318004014	9.0
C6	0.09034114193714539	0.007812675468187747	0.07653031979083968	3.0
C2	0.03868087412507543	0.013640450341973576	0.13361722639228674	20.0
FC4	0.06624850502033502	0.04520242008334055	0.10212492219504127	7.0
FT8	0.08987001599562013	0.033001903193037925	0.03486209136928371	16.0
F6	0.0704617672546428	0.06696523450326117	0.06140936631916192	5.0
AF8	0.05551230450201198	0.0805612831292959	0.0328780767293117	8.0
AF4	0.035186655245360764	0.09186648430202118	0.06183235468961738	18.0
F2	0.029087254282400273	0.07757910853109211	0.10102121887817489	21.0
PPG	n/a	n/a	n/a	n/a
ECG	n/a	n/a	n/a	n/a
