participant_id	event_id	condition	trial	sequence	response	NCorrect	partialScore	triggerCorrect
sub-022	40	Fast	1	1825349	1825349	7	7	1111111
sub-022	40	Fast	2	7382451	7382451	7	7	1111111
sub-022	40	Fast	3	6402197	6402194	6	6	1111110
sub-022	40	Fast	4	9812567	7815296	0	2	110000
sub-022	40	Fast	5	5790612	5790612	7	7	1111111
sub-022	40	Fast	6	5213796	5371962	1	1	1000000
sub-022	40	Fast	7	3405278	3405297	5	5	1111100
sub-022	40	Fast	8	2769180	5762194	0	3	110100
sub-022	40	Fast	9	8046517	8046517	7	7	1111111
sub-022	40	Fast	10	3069178	3069178	7	7	1111111
sub-022	40	Fast	11	5702483	5702483	7	7	1111111
sub-022	40	Fast	12	4016837	4016783	4	4	1111000
sub-022	40	Fast	13	6485073	6485073	7	7	1111111
sub-022	40	Fast	14	9802315	9802435	4	5	1111001
sub-022	40	Fast	15	9601748	9601745	6	6	1111110
sub-022	40	Fast	16	2745061	2743156	3	3	1110000
sub-022	40	Fast	17	1620978	1620478	4	6	1111011
sub-022	40	Fast	18	5074836	5074836	7	7	1111111
sub-022	40	Fast	19	3524168	5324168	0	5	11111
sub-022	40	Fast	20	1950673	1950673	7	7	1111111
sub-022	40	Fast	21	8123764	8123764	7	7	1111111
sub-022	40	Fast	22	7628350	7623450	3	5	1110011
sub-022	40	Fast	23	9350724	9350874	4	5	1111001
sub-022	40	Fast	24	5298037	5298073	5	5	1111100
sub-022	40	Fast	25	4520876	4520876	7	7	1111111
sub-022	40	Fast	26	5468732	5468732	7	7	1111111
sub-022	40	Fast	27	2017694	2015674	3	5	1110101
sub-022	40	Fast	28	2846035	1234567	0	0	0
sub-022	40	Fast	29	7152963	7152693	4	5	1111001
sub-022	40	Fast	30	1506879	1506789	4	5	1111001
sub-022	40	Fast	31	2863710	2861730	3	5	1110101
sub-022	40	Fast	32	7914253	7914523	4	5	1111001
sub-022	40	Fast	33	8964057	8964053	6	6	1111110
sub-022	40	Fast	34	2973486	2973684	4	5	1111010
sub-022	40	Fast	35	8593016	5943086	0	3	1101
sub-022	40	Fast	36	8739504	3879504	0	4	1111
sub-022	40	Fast	37	5864127	3864517	0	4	111001
sub-022	40	Fast	38	674923	698743	2	3	1100001
sub-022	40	Fast	39	6419832	6419382	4	5	1111001
sub-022	40	Fast	40	3278690	3284590	2	4	1100011
sub-022	40	Fast	41	5376819	5374896	3	4	1110100
sub-022	40	Fast	42	9374258	9374258	7	7	1111111
sub-022	40	Fast	43	3247618	4327615	0	3	1110
sub-022	40	Fast	44	2139507	2135907	3	5	1110011
sub-022	40	Fast	45	6129504	6129504	7	7	1111111
sub-022	40	Fast	46	9163207	9163207	7	7	1111111
sub-022	40	Fast	47	9043761	9043761	7	7	1111111
sub-022	40	Fast	48	416872	418956	3	3	1110000
sub-022	40	Fast	49	6380192	6380192	7	7	1111111
sub-022	40	Fast	50	7596814	7596412	4	5	1111010
sub-022	100	Slow	51	5931872	5931872	7	7	1111111
sub-022	100	Slow	52	836745	836745	7	7	1111111
sub-022	100	Slow	53	4690827	4690872	5	5	1111100
sub-022	100	Slow	54	7053641	7053641	7	7	1111111
sub-022	100	Slow	55	1982365	1982365	7	7	1111111
sub-022	100	Slow	56	2456197	2456197	7	7	1111111
sub-022	100	Slow	57	3827954	3827954	7	7	1111111
sub-022	100	Slow	58	2615390	2615390	7	7	1111111
sub-022	100	Slow	59	8410379	8410379	7	7	1111111
sub-022	100	Slow	60	173948	173948	7	7	1111111
sub-022	100	Slow	61	2061947	2061947	7	7	1111111
sub-022	100	Slow	62	6021583	6021583	7	7	1111111
sub-022	100	Slow	63	8942760	8023740	1	3	1000101
sub-022	100	Slow	64	3702849	3702849	7	7	1111111
sub-022	100	Slow	65	7082395	7082395	7	7	1111111
sub-022	100	Slow	66	7598312	7894312	1	5	1010111
sub-022	100	Slow	67	3142698	3142698	7	7	1111111
sub-022	100	Slow	68	9831274	9831274	7	7	1111111
sub-022	100	Slow	69	2671958	2761958	1	5	1001111
sub-022	100	Slow	70	4136297	6132978	0	2	110000
sub-022	100	Slow	71	6495183	6495173	5	6	1111101
sub-022	100	Slow	72	5147602	5147602	7	7	1111111
sub-022	100	Slow	73	4516207	4516207	7	7	1111111
sub-022	100	Slow	74	5240978	5240978	7	7	1111111
sub-022	100	Slow	75	9270346	5270349	0	5	111110
sub-022	100	Slow	76	7196850	7196850	7	7	1111111
sub-022	100	Slow	77	2174695	2174695	7	7	1111111
sub-022	100	Slow	78	9185347	9185347	7	7	1111111
sub-022	100	Slow	79	2806419	2806417	6	6	1111110
sub-022	100	Slow	80	9205746	9205746	7	7	1111111
sub-022	100	Slow	81	5079843	5079843	7	7	1111111
sub-022	100	Slow	82	1674830	5164730	0	3	1011
sub-022	100	Slow	83	3041625	3041625	7	7	1111111
sub-022	100	Slow	84	7042536	7042536	7	7	1111111
sub-022	100	Slow	85	6328407	6328407	7	7	1111111
sub-022	100	Slow	86	7386045	3785046	0	3	10110
sub-022	100	Slow	87	1950824	821957	0	0	0
sub-022	100	Slow	88	567923	569832	3	3	1110000
sub-022	100	Slow	89	6473809	6873902	1	4	1011010
sub-022	100	Slow	90	8712064	7812064	0	5	11111
sub-022	100	Slow	91	8279164	7932064	0	2	11
sub-022	100	Slow	92	847395	847395	7	7	1111111
sub-022	100	Slow	93	6483579	5483912	0	3	111000
sub-022	100	Slow	94	1789362	1789632	4	5	1111001
sub-022	100	Slow	95	4368071	9361072	0	4	110110
sub-022	100	Slow	96	7162983	6152948	0	3	101100
sub-022	100	Slow	97	8412609	2431609	0	4	100111
sub-022	100	Slow	98	3267814	3465912	1	3	1010010
sub-022	100	Slow	99	7260915	7260915	7	7	1111111
sub-022	100	Slow	100	698724	698742	5	5	1111100
sub-022	28	Simultaneous	101	6973582	6973582	7	7	1111111
sub-022	28	Simultaneous	102	9463218	9463218	7	7	1111111
sub-022	28	Simultaneous	103	3879206	3879206	7	7	1111111
sub-022	28	Simultaneous	104	4637980	4637980	7	7	1111111
sub-022	28	Simultaneous	105	5847293	5847293	7	7	1111111
sub-022	28	Simultaneous	106	3741820	3741820	7	7	1111111
sub-022	28	Simultaneous	107	3801947	3801947	7	7	1111111
sub-022	28	Simultaneous	108	396128	396128	7	7	1111111
sub-022	28	Simultaneous	109	1046592	1046592	7	7	1111111
sub-022	28	Simultaneous	110	5067483	5067483	7	7	1111111
sub-022	28	Simultaneous	111	156782	516782	1	5	1001111
sub-022	28	Simultaneous	112	539416	539416	7	7	1111111
sub-022	28	Simultaneous	113	2753609	2753609	7	7	1111111
