participant_id	event_id	condition	trial	sequence	response	NCorrect	partialScore	triggerCorrect
sub-016	60	Fast+delay	1	6103497	6103197	4	6	1111011
sub-016	60	Fast+delay	2	9681574	9671586	2	4	1101100
sub-016	60	Fast+delay	3	3418567	8356492	0	0	0
sub-016	60	Fast+delay	4	8502347	8502413	4	4	1111000
sub-016	60	Fast+delay	5	1075829	1075829	7	7	1111111
sub-016	60	Fast+delay	6	4365197	4362579	3	3	1110000
sub-016	60	Fast+delay	7	1620349	1620596	4	4	1111000
sub-016	60	Fast+delay	8	543289	543289	7	7	1111111
sub-016	60	Fast+delay	9	7296104	7145684	1	2	1000001
sub-016	60	Fast+delay	10	8021943	7021942	0	5	111110
sub-016	60	Fast+delay	11	4073659	4026582	2	2	1100000
sub-016	60	Fast+delay	12	7649538	7649325	4	4	1111000
sub-016	60	Fast+delay	13	2754391	2754836	4	4	1111000
sub-016	60	Fast+delay	14	3127084	3270285	1	2	1000010
sub-016	60	Fast+delay	15	9261845	9564215	1	3	1010001
sub-016	60	Fast+delay	16	175839	174165	3	3	1110000
sub-016	60	Fast+delay	17	9482316	1482316	0	6	111111
sub-016	60	Fast+delay	18	8437596	8436549	3	4	1110100
sub-016	60	Fast+delay	19	3057896	3057892	6	6	1111110
sub-016	60	Fast+delay	20	6087134	6087134	7	7	1111111
sub-016	60	Fast+delay	21	5924718	5824196	1	3	1011000
sub-016	60	Fast+delay	22	7016928	7016928	7	7	1111111
sub-016	60	Fast+delay	23	7503492	7501492	3	6	1110111
sub-016	60	Fast+delay	24	3645201	3640292	3	4	1110100
sub-016	60	Fast+delay	25	4320985	4650982	1	4	1001110
sub-016	60	Fast+delay	26	4810763	4810763	7	7	1111111
sub-016	60	Fast+delay	27	9158620	9157620	3	6	1110111
sub-016	60	Fast+delay	28	3862510	3865120	3	4	1110001
sub-016	60	Fast+delay	29	8130469	8130469	7	7	1111111
sub-016	60	Fast+delay	30	7061293	7061293	7	7	1111111
sub-016	60	Fast+delay	31	2473501	2475469	3	3	1110000
sub-016	60	Fast+delay	32	7510642	7510652	5	6	1111101
sub-016	60	Fast+delay	33	3071659	3061769	2	4	1101001
sub-016	60	Fast+delay	34	4063971	3063971	0	6	111111
sub-016	60	Fast+delay	35	5361902	5361502	4	6	1111011
sub-016	60	Fast+delay	36	4537891	4537891	7	7	1111111
sub-016	60	Fast+delay	37	9378652	5445625	0	1	100
sub-016	60	Fast+delay	38	2498356	2891366	1	4	1010101
sub-016	60	Fast+delay	39	8325076	8325076	7	7	1111111
sub-016	60	Fast+delay	40	9028617	9028617	7	7	1111111
sub-016	60	Fast+delay	41	4560123	4560143	5	6	1111101
sub-016	60	Fast+delay	42	7169042	7165024	3	4	1110100
sub-016	60	Fast+delay	43	832715	832715	7	7	1111111
sub-016	60	Fast+delay	44	8956437	8926436	2	5	1101110
sub-016	60	Fast+delay	45	9640178	9640178	7	7	1111111
sub-016	60	Fast+delay	46	7241539	7241528	5	5	1111100
sub-016	60	Fast+delay	47	4029867	4029857	5	6	1111101
sub-016	60	Fast+delay	48	452793	452793	7	7	1111111
sub-016	60	Fast+delay	49	9871365	9871367	6	6	1111110
sub-016	60	Fast+delay	50	584263	584263	7	7	1111111
sub-016	40	Fast	51	2065173	2065157	5	5	1111100
sub-016	40	Fast	52	3815604	2812547	0	2	110000
sub-016	40	Fast	53	3425906	2425906	0	6	111111
sub-016	40	Fast	54	6310725	6542135	1	2	1000001
sub-016	40	Fast	55	3248569	3864589	1	3	1000101
sub-016	40	Fast	56	2874693	2874563	4	5	1111001
sub-016	40	Fast	57	2094576	2096576	3	6	1110111
sub-016	40	Fast	58	4165938	4168547	3	3	1110000
sub-016	40	Fast	59	6145207	6145237	5	6	1111101
sub-016	40	Fast	60	1603784	1632748	2	3	1100100
sub-016	40	Fast	61	5398067	5396587	3	4	1110001
sub-016	40	Fast	62	9356201	9356461	4	5	1111001
sub-016	40	Fast	63	438176	1540763	0	0	0
sub-016	40	Fast	64	5081249	5081649	4	6	1111011
sub-016	40	Fast	65	4632089	4632694	4	4	1111000
sub-016	40	Fast	66	7426539	4723694	0	1	10000
sub-016	40	Fast	67	2316598	2316598	7	7	1111111
sub-016	40	Fast	68	1975362	1926587	2	2	1100000
sub-016	40	Fast	69	7346250	7326468	2	3	1101000
sub-016	40	Fast	70	8692514	8695494	3	4	1110001
sub-016	40	Fast	71	4275068	4925648	1	3	1001001
sub-016	40	Fast	72	6209735	6204893	3	3	1110000
sub-016	40	Fast	73	6105839	6105279	4	5	1111001
sub-016	40	Fast	74	1834207	1835607	3	5	1110011
