participant_id	event_id	condition	trial	sequence	response	NCorrect	partialScore	triggerCorrect
sub-010	100	Slow	1	9832067	9832067	7	7	1111111
sub-010	100	Slow	2	672359	672359	7	7	1111111
sub-010	100	Slow	3	5987132	5987132	7	7	1111111
sub-010	100	Slow	4	5287134	5287134	7	7	1111111
sub-010	100	Slow	5	7150964	7150964	7	7	1111111
sub-010	100	Slow	6	7698124	7698164	5	6	1111101
sub-010	100	Slow	7	7340651	7340651	7	7	1111111
sub-010	100	Slow	8	1649738	1964738	1	4	1000111
sub-010	100	Slow	9	1457089	1456089	3	6	1110111
sub-010	100	Slow	10	361478	6017589	0	0	0
sub-010	100	Slow	11	8516473	8516473	7	7	1111111
sub-010	100	Slow	12	4782136	4782136	7	7	1111111
sub-010	100	Slow	13	4738256	4738261	5	5	1111100
sub-010	100	Slow	14	357691	7040000	0	0	0
sub-010	100	Slow	15	7851234	7851234	7	7	1111111
sub-010	100	Slow	16	6138570	6138570	7	7	1111111
sub-010	100	Slow	17	6479013	6579013	1	6	1011111
sub-010	100	Slow	18	1769283	1769823	4	5	1111001
sub-010	100	Slow	19	5603724	5640382	2	2	1100000
sub-010	100	Slow	20	9237516	9275136	2	3	1100001
sub-010	100	Slow	21	4683071	6481703	0	1	10000
sub-010	100	Slow	22	3589461	3589461	7	7	1111111
sub-010	100	Slow	23	968531	958461	2	4	1101001
sub-010	100	Slow	24	9821073	9821407	4	4	1111000
sub-010	100	Slow	25	6392875	6392805	5	6	1111101
sub-010	100	Slow	26	4721506	4721506	7	7	1111111
sub-010	100	Slow	27	3801475	3801475	7	7	1111111
sub-010	100	Slow	28	1098342	1098342	7	7	1111111
sub-010	100	Slow	29	1387054	1387054	7	7	1111111
sub-010	100	Slow	30	4502791	1504091	0	4	110011
sub-010	100	Slow	31	2978104	2978104	7	7	1111111
sub-010	100	Slow	32	5140683	5140683	7	7	1111111
sub-010	100	Slow	33	521864	621864	1	6	1011111
sub-010	100	Slow	34	2465918	2365914	1	5	1011110
sub-010	100	Slow	35	896137	896137	7	7	1111111
sub-010	100	Slow	36	475123	500000	1	1	1000000
sub-010	100	Slow	37	7319526	7319526	7	7	1111111
sub-010	100	Slow	38	6930754	6930754	7	7	1111111
sub-010	100	Slow	39	721365	721365	7	7	1111111
sub-010	100	Slow	40	825963	825963	7	7	1111111
sub-010	100	Slow	41	3685142	6983142	0	4	10111
sub-010	100	Slow	42	8312046	5982146	0	3	1011
sub-010	100	Slow	43	5208179	5208179	7	7	1111111
sub-010	100	Slow	44	8731429	8731429	7	7	1111111
sub-010	100	Slow	45	4230981	4193000	1	1	1000000
sub-010	100	Slow	46	8315694	8315694	7	7	1111111
sub-010	100	Slow	47	925314	925314	7	7	1111111
sub-010	100	Slow	48	167925	167925	7	7	1111111
sub-010	100	Slow	49	2870146	2870641	4	5	1111010
sub-010	100	Slow	50	251384	251684	4	6	1111011
sub-010	60	Fast+delay	51	1523689	1253869	1	3	1001001
sub-010	60	Fast+delay	52	518326	851326	1	4	1000111
sub-010	60	Fast+delay	53	2814973	2841573	2	4	1100011
sub-010	60	Fast+delay	54	8709245	0	0	1	10000
sub-010	60	Fast+delay	55	5982760	5982760	7	7	1111111
sub-010	60	Fast+delay	56	3261405	3261405	7	7	1111111
sub-010	60	Fast+delay	57	2516793	2500000	2	2	1100000
sub-010	60	Fast+delay	58	5982467	0	0	0	0
sub-010	60	Fast+delay	59	8432610	8462190	2	4	1101001
sub-010	60	Fast+delay	60	5109624	5106924	3	5	1110011
sub-010	60	Fast+delay	61	8361924	8361924	7	7	1111111
sub-010	60	Fast+delay	62	6120473	6410000	1	2	1001000
sub-010	60	Fast+delay	63	3960541	9365418	0	1	10000
sub-010	60	Fast+delay	64	9504326	9504326	7	7	1111111
sub-010	60	Fast+delay	65	4716593	4396570	1	3	1001100
sub-010	60	Fast+delay	66	1586307	1586307	7	7	1111111
sub-010	60	Fast+delay	67	6948523	6948000	4	4	1111000
sub-010	60	Fast+delay	68	1345702	1342705	3	5	1110110
sub-010	60	Fast+delay	69	1692375	1692375	7	7	1111111
sub-010	60	Fast+delay	70	2713984	2471398	1	1	1000000
sub-010	60	Fast+delay	71	4312657	4372000	2	3	1101000
sub-010	60	Fast+delay	72	8912763	8912763	7	7	1111111
sub-010	60	Fast+delay	73	6849037	0	0	1	100
sub-010	60	Fast+delay	74	261847	216478	2	2	1100000
sub-010	60	Fast+delay	75	9162345	9162345	7	7	1111111
sub-010	60	Fast+delay	76	9653840	9653840	7	7	1111111
sub-010	60	Fast+delay	77	7402359	0	0	1	10000
sub-010	60	Fast+delay	78	3824067	3284567	1	4	1001011
sub-010	60	Fast+delay	79	7431086	7431640	4	4	1111000
sub-010	60	Fast+delay	80	9524761	9524761	7	7	1111111
sub-010	60	Fast+delay	81	2914073	2914573	4	6	1111011
sub-010	60	Fast+delay	82	9631804	0	0	1	10
sub-010	60	Fast+delay	83	5106438	6400000	0	1	10000
sub-010	60	Fast+delay	84	5902378	5903800	3	3	1110000
sub-010	60	Fast+delay	85	785269	0	1	1	1000000
sub-010	60	Fast+delay	86	1023895	1450000	1	1	1000000
sub-010	60	Fast+delay	87	897214	897124	4	5	1111001
sub-010	60	Fast+delay	88	2560834	2560834	7	7	1111111
sub-010	60	Fast+delay	89	5801672	5801762	4	5	1111001
sub-010	60	Fast+delay	90	6082914	5780162	0	1	10000
sub-010	60	Fast+delay	91	5218749	5218370	4	4	1111000
sub-010	60	Fast+delay	92	852964	0	1	1	1000000
sub-010	60	Fast+delay	93	1074269	1074269	7	7	1111111
sub-010	60	Fast+delay	94	7635194	7935864	1	4	1011001
sub-010	60	Fast+delay	95	2841035	2841365	4	5	1111001
sub-010	60	Fast+delay	96	2610943	0	0	1	1000
sub-010	60	Fast+delay	97	3250814	3250814	7	7	1111111
sub-010	60	Fast+delay	98	9307216	9030000	1	1	1000000
sub-010	60	Fast+delay	99	9678142	9687142	2	5	1100111
sub-010	60	Fast+delay	100	2810345	2810345	7	7	1111111
sub-010	28	Simultaneous	101	1506973	1506973	7	7	1111111
sub-010	28	Simultaneous	102	9145872	9145273	4	5	1111010
sub-010	28	Simultaneous	103	8307214	8307214	7	7	1111111
sub-010	28	Simultaneous	104	1874296	1835296	2	5	1100111
sub-010	28	Simultaneous	105	6870523	6870523	7	7	1111111
sub-010	28	Simultaneous	106	5204183	5207183	3	6	1110111
sub-010	28	Simultaneous	107	6710482	6710482	7	7	1111111
sub-010	28	Simultaneous	108	5814937	5140000	1	1	1000000
sub-010	28	Simultaneous	109	8405369	8405269	4	6	1111011
sub-010	28	Simultaneous	110	6239714	6273000	2	2	1100000
sub-010	28	Simultaneous	111	7658039	7628039	2	6	1101111
sub-010	28	Simultaneous	112	4069537	4069537	7	7	1111111
sub-010	28	Simultaneous	113	6052149	6052149	7	7	1111111
sub-010	28	Simultaneous	114	9620874	9620000	4	4	1111000
sub-010	28	Simultaneous	115	4326018	4236038	1	4	1001101
sub-010	28	Simultaneous	116	9183520	9183520	7	7	1111111
sub-010	28	Simultaneous	117	5026178	5027168	3	5	1110101
sub-010	28	Simultaneous	118	7041692	7046100	3	3	1110000
sub-010	28	Simultaneous	119	9025361	9025361	7	7	1111111
sub-010	28	Simultaneous	120	6493152	6134695	1	1	1000000
sub-010	28	Simultaneous	121	1938052	1938052	7	7	1111111
sub-010	28	Simultaneous	122	9728361	9620361	1	5	1010111
sub-010	28	Simultaneous	123	5439716	6729617	0	2	1010
sub-010	28	Simultaneous	124	619327	619327	7	7	1111111
sub-010	28	Simultaneous	125	4639570	3659270	0	4	101011
sub-010	28	Simultaneous	126	924163	926173	3	5	1110101
sub-010	28	Simultaneous	127	9345178	9345763	4	4	1111000
sub-010	28	Simultaneous	128	4608793	4608793	7	7	1111111
sub-010	28	Simultaneous	129	2943180	2947130	3	5	1110101
sub-010	28	Simultaneous	130	8791346	8791436	4	5	1111001
sub-010	28	Simultaneous	131	176543	176543	7	7	1111111
sub-010	28	Simultaneous	132	2753019	2753019	7	7	1111111
sub-010	28	Simultaneous	133	7805963	7806900	3	4	1110100
sub-010	28	Simultaneous	134	1245308	1245308	7	7	1111111
sub-010	28	Simultaneous	135	7094182	7040000	2	2	1100000
sub-010	28	Simultaneous	136	7546891	7546891	7	7	1111111
sub-010	28	Simultaneous	137	8170569	8170569	7	7	1111111
