participant_id	event_id	condition	trial	sequence	response	NCorrect	partialScore	triggerCorrect
sub-012	60	Fast+delay	1	4698370	4698370	7	7	1111111
sub-012	60	Fast+delay	2	1486095	1486095	7	7	1111111
sub-012	60	Fast+delay	3	8739621	8756321	2	4	1100011
sub-012	60	Fast+delay	4	4218735	4218735	7	7	1111111
sub-012	60	Fast+delay	5	7240813	7240813	7	7	1111111
sub-012	60	Fast+delay	6	7412908	7412908	7	7	1111111
sub-012	60	Fast+delay	7	2405981	2405981	7	7	1111111
sub-012	60	Fast+delay	8	1908354	1908354	7	7	1111111
sub-012	60	Fast+delay	9	8742560	8742560	7	7	1111111
sub-012	60	Fast+delay	10	5326170	5326170	7	7	1111111
sub-012	60	Fast+delay	11	782345	782345	7	7	1111111
sub-012	60	Fast+delay	12	9124056	9124056	7	7	1111111
sub-012	60	Fast+delay	13	5183720	5173920	2	5	1101011
sub-012	60	Fast+delay	14	3098176	3098176	7	7	1111111
sub-012	60	Fast+delay	15	4609578	4609578	7	7	1111111
sub-012	60	Fast+delay	16	8763915	8763915	7	7	1111111
sub-012	60	Fast+delay	17	1395274	1395274	7	7	1111111
sub-012	60	Fast+delay	18	2583401	2583401	7	7	1111111
sub-012	60	Fast+delay	19	7193842	7193842	7	7	1111111
sub-012	60	Fast+delay	20	1672504	1672504	7	7	1111111
sub-012	60	Fast+delay	21	9782043	9782043	7	7	1111111
sub-012	60	Fast+delay	22	9382751	9182751	1	6	1011111
sub-012	60	Fast+delay	23	2056374	2056374	7	7	1111111
sub-012	60	Fast+delay	24	2748659	9378654	0	3	1110
sub-012	60	Fast+delay	25	5743610	5246310	1	4	1010011
sub-012	60	Fast+delay	26	3078496	3078496	7	7	1111111
sub-012	60	Fast+delay	27	4695312	4695312	7	7	1111111
sub-012	60	Fast+delay	28	1062748	1062748	7	7	1111111
sub-012	60	Fast+delay	29	2573491	2573491	7	7	1111111
sub-012	60	Fast+delay	30	5096283	5096283	7	7	1111111
sub-012	60	Fast+delay	31	4869021	5864091	0	4	110101
sub-012	60	Fast+delay	32	9216708	5216708	0	6	111111
sub-012	60	Fast+delay	33	9485026	9485026	7	7	1111111
sub-012	60	Fast+delay	34	3961527	3961527	7	7	1111111
sub-012	60	Fast+delay	35	9107624	9107624	7	7	1111111
sub-012	60	Fast+delay	36	9675413	9675413	7	7	1111111
sub-012	60	Fast+delay	37	3420981	5420981	0	6	111111
sub-012	60	Fast+delay	38	9625174	9625174	7	7	1111111
sub-012	60	Fast+delay	39	2013794	2013748	5	5	1111100
sub-012	60	Fast+delay	40	3901278	3901278	7	7	1111111
sub-012	60	Fast+delay	41	5283971	5283714	4	4	1111000
sub-012	60	Fast+delay	42	5618327	5618327	7	7	1111111
sub-012	60	Fast+delay	43	4539126	4539126	7	7	1111111
sub-012	60	Fast+delay	44	3657892	3657892	7	7	1111111
sub-012	60	Fast+delay	45	1286375	1283675	3	5	1110011
sub-012	60	Fast+delay	46	4526031	4526031	7	7	1111111
sub-012	60	Fast+delay	47	9834760	9834760	7	7	1111111
sub-012	60	Fast+delay	48	1529376	1529376	7	7	1111111
sub-012	60	Fast+delay	49	2578394	2578394	7	7	1111111
sub-012	60	Fast+delay	50	478265	478245	5	6	1111101
sub-012	40	Fast	51	2689743	2689743	7	7	1111111
sub-012	40	Fast	52	3806274	3806724	4	5	1111001
sub-012	40	Fast	53	6437815	3687415	0	3	1011
sub-012	40	Fast	54	4765018	3541802	0	0	0
sub-012	40	Fast	55	264873	264873	7	7	1111111
sub-012	40	Fast	56	8935701	8935701	7	7	1111111
sub-012	40	Fast	57	9841053	9841053	7	7	1111111
sub-012	40	Fast	58	1708495	1708495	7	7	1111111
sub-012	40	Fast	59	6258017	6258017	7	7	1111111
sub-012	40	Fast	60	9326054	9326054	7	7	1111111
sub-012	40	Fast	61	8615974	8615974	7	7	1111111
sub-012	40	Fast	62	8309415	8309415	7	7	1111111
sub-012	40	Fast	63	639854	635437	3	3	1110000
sub-012	40	Fast	64	4760532	4670532	1	5	1001111
sub-012	40	Fast	65	9582360	5286930	0	2	10001
sub-012	40	Fast	66	7530862	7530862	7	7	1111111
sub-012	40	Fast	67	6795481	7685412	0	2	1100
sub-012	40	Fast	68	6018472	6014872	3	5	1110011
sub-012	40	Fast	69	7023185	7023185	7	7	1111111
sub-012	40	Fast	70	4235891	4235891	7	7	1111111
sub-012	40	Fast	71	6429135	6409135	2	6	1101111
sub-012	40	Fast	72	9720486	9720486	7	7	1111111
sub-012	40	Fast	73	6583279	6483579	1	5	1011011
sub-012	40	Fast	74	2735089	8735089	0	6	111111
