participant_id	event_id	condition	trial	sequence	response	NCorrect	partialScore	triggerCorrect
sub-025	28	Simultaneous	1	5038297	5038297	7	7	1111111
sub-025	28	Simultaneous	2	2154368	2154368	7	7	1111111
sub-025	28	Simultaneous	3	652439	652439	7	7	1111111
sub-025	28	Simultaneous	4	2087134	2087134	7	7	1111111
sub-025	28	Simultaneous	5	1028396	1028396	7	7	1111111
sub-025	28	Simultaneous	6	2354609	2354609	7	7	1111111
sub-025	28	Simultaneous	7	5374129	5374129	7	7	1111111
sub-025	28	Simultaneous	8	9152748	9152748	7	7	1111111
sub-025	28	Simultaneous	9	4719632	4719362	4	5	1111001
sub-025	28	Simultaneous	10	4392507	4392507	7	7	1111111
sub-025	28	Simultaneous	11	8602753	8602753	7	7	1111111
sub-025	28	Simultaneous	12	9782146	9782146	7	7	1111111
sub-025	28	Simultaneous	13	2198530	2198530	7	7	1111111
sub-025	28	Simultaneous	14	1294850	1294750	4	6	1111011
sub-025	28	Simultaneous	15	6532098	6532098	7	7	1111111
sub-025	28	Simultaneous	16	8549710	8542710	3	6	1110111
sub-025	28	Simultaneous	17	7164309	7164309	7	7	1111111
sub-025	28	Simultaneous	18	2106785	2106785	7	7	1111111
sub-025	28	Simultaneous	19	138694	138694	7	7	1111111
sub-025	28	Simultaneous	20	5176428	5176428	7	7	1111111
sub-025	28	Simultaneous	21	1042875	1042845	5	6	1111101
sub-025	28	Simultaneous	22	1378296	1398265	2	4	1101100
sub-025	28	Simultaneous	23	9568074	9568024	5	6	1111101
sub-025	28	Simultaneous	24	9235104	9235104	7	7	1111111
sub-025	28	Simultaneous	25	1560843	1520843	2	6	1101111
sub-025	28	Simultaneous	26	6701453	6720453	2	5	1100111
sub-025	28	Simultaneous	27	1436507	1476503	2	5	1101110
sub-025	28	Simultaneous	28	5201368	5201368	7	7	1111111
sub-025	28	Simultaneous	29	8642513	8542369	1	3	1011000
sub-025	28	Simultaneous	30	6385790	6385790	7	7	1111111
sub-025	28	Simultaneous	31	8104927	8104927	7	7	1111111
sub-025	28	Simultaneous	32	8719042	8719042	7	7	1111111
sub-025	28	Simultaneous	33	6405791	6405791	7	7	1111111
sub-025	28	Simultaneous	34	2864301	2864301	7	7	1111111
sub-025	28	Simultaneous	35	3598261	3298561	1	5	1011011
sub-025	28	Simultaneous	36	4196372	4195362	3	5	1110101
