participant_id	event_id	condition	trial	sequence	response	NCorrect	partialScore	triggerCorrect
sub-031	60	Fast+delay	1	4830769	4830516	4	4	1111000
sub-031	60	Fast+delay	2	3759416	3759408	5	5	1111100
sub-031	60	Fast+delay	3	469128	479238	2	4	1101001
sub-031	60	Fast+delay	4	9134580	9153862	2	2	1100000
sub-031	60	Fast+delay	5	4615302	4603781	2	2	1100000
sub-031	60	Fast+delay	6	6059714	6051273	3	3	1110000
sub-031	60	Fast+delay	7	8920534	8920534	7	7	1111111
sub-031	60	Fast+delay	8	8541932	8592346	2	2	1100000
sub-031	60	Fast+delay	9	7638104	7630854	3	4	1110001
sub-031	60	Fast+delay	10	5429863	5429863	7	7	1111111
sub-031	60	Fast+delay	11	4287365	4286513	3	3	1110000
sub-031	60	Fast+delay	12	8071952	7081523	0	2	101000
sub-031	60	Fast+delay	13	2843619	2864315	2	3	1100010
sub-031	60	Fast+delay	14	2438709	2478951	2	3	1101000
sub-031	60	Fast+delay	15	2793481	2586431	1	3	1000101
sub-031	60	Fast+delay	16	9803167	9803751	4	4	1111000
sub-031	60	Fast+delay	17	5973421	5976321	3	5	1110011
sub-031	60	Fast+delay	18	2096435	2096381	4	4	1111000
sub-031	60	Fast+delay	19	3860729	2039608	0	0	0
sub-031	60	Fast+delay	20	5206481	2063960	0	0	0
sub-031	60	Fast+delay	21	8714923	8760391	2	2	1100000
sub-031	60	Fast+delay	22	1098763	1098963	4	6	1111011
sub-031	60	Fast+delay	23	1482076	1092631	1	2	1001000
sub-031	60	Fast+delay	24	6831097	6831097	7	7	1111111
sub-031	60	Fast+delay	25	7892104	7890613	3	3	1110000
sub-031	60	Fast+delay	26	4398012	4390861	3	3	1110000
sub-031	60	Fast+delay	27	2891643	2891643	7	7	1111111
sub-031	60	Fast+delay	28	6320958	6321958	3	6	1110111
sub-031	60	Fast+delay	29	2893750	2381950	1	3	1000011
sub-031	60	Fast+delay	30	168945	258973	1	3	1001100
sub-031	60	Fast+delay	31	3962075	3962815	4	5	1111001
sub-031	60	Fast+delay	32	4263901	4932761	1	2	1000001
sub-031	60	Fast+delay	33	5893071	5831965	2	2	1100000
sub-031	60	Fast+delay	34	958173	958731	4	4	1111000
sub-031	60	Fast+delay	35	1905246	951683	0	1	100000
sub-031	60	Fast+delay	36	9520617	9530681	2	4	1101100
sub-031	60	Fast+delay	37	827543	851396	2	2	1100000
sub-031	60	Fast+delay	38	4317280	4937280	1	5	1001111
sub-031	60	Fast+delay	39	849725	849572	4	4	1111000
sub-031	60	Fast+delay	40	5863042	5864320	3	3	1110000
sub-031	60	Fast+delay	41	8734605	8734605	7	7	1111111
sub-031	60	Fast+delay	42	8691542	8634605	2	2	1100000
sub-031	60	Fast+delay	43	2941573	2941635	4	4	1111000
sub-031	60	Fast+delay	44	176829	164593	2	2	1100000
sub-031	60	Fast+delay	45	2856390	2958364	1	3	1010100
sub-031	60	Fast+delay	46	3468197	3968597	1	5	1011011
sub-031	60	Fast+delay	47	7268395	7268932	4	4	1111000
sub-031	60	Fast+delay	48	8023417	8026317	3	5	1110011
sub-031	60	Fast+delay	49	1879052	1870312	3	4	1110001
sub-031	60	Fast+delay	50	6098174	6087392	2	2	1100000
sub-031	28	Simultaneous	51	1579806	1579806	7	7	1111111
sub-031	28	Simultaneous	52	371958	375918	3	5	1110101
sub-031	28	Simultaneous	53	6153847	6153728	4	4	1111000
sub-031	28	Simultaneous	54	5317029	5317029	7	7	1111111
sub-031	28	Simultaneous	55	6728354	6571823	1	1	1000000
sub-031	28	Simultaneous	56	5716028	5716028	7	7	1111111
sub-031	28	Simultaneous	57	1596870	1596780	4	5	1111001
sub-031	28	Simultaneous	58	8249713	8249613	4	6	1111011
sub-031	28	Simultaneous	59	5716438	5716438	7	7	1111111
sub-031	28	Simultaneous	60	3846275	3846275	7	7	1111111
sub-031	28	Simultaneous	61	6235419	6235419	7	7	1111111
sub-031	28	Simultaneous	62	1468579	1468759	4	5	1111001
sub-031	28	Simultaneous	63	8025374	8025374	7	7	1111111
sub-031	28	Simultaneous	64	135496	135469	5	5	1111100
sub-031	28	Simultaneous	65	5918672	5918426	4	4	1111000
sub-031	28	Simultaneous	66	8539276	8539426	4	5	1111001
sub-031	28	Simultaneous	67	4580627	4580627	7	7	1111111
sub-031	28	Simultaneous	68	4013968	4013628	4	5	1111001
sub-031	28	Simultaneous	69	4590628	4590827	4	5	1111010
sub-031	28	Simultaneous	70	9260137	9260137	7	7	1111111
sub-031	28	Simultaneous	71	371245	371625	4	5	1111001
sub-031	28	Simultaneous	72	7958210	7958026	4	4	1111000
sub-031	28	Simultaneous	73	1439207	1439207	7	7	1111111
sub-031	28	Simultaneous	74	5427196	5427196	7	7	1111111
sub-031	28	Simultaneous	75	7016452	7016452	7	7	1111111
sub-031	28	Simultaneous	76	1247938	1247938	7	7	1111111
sub-031	28	Simultaneous	77	3802617	3802617	7	7	1111111
sub-031	28	Simultaneous	78	7309254	7309254	7	7	1111111
sub-031	28	Simultaneous	79	3520867	3520867	7	7	1111111
sub-031	28	Simultaneous	80	9301528	9301548	5	6	1111101
sub-031	28	Simultaneous	81	1583297	1583297	7	7	1111111
sub-031	28	Simultaneous	82	9023845	9023845	7	7	1111111
sub-031	28	Simultaneous	83	8540279	8540297	5	5	1111100
sub-031	28	Simultaneous	84	5418069	5418069	7	7	1111111
sub-031	28	Simultaneous	85	9473081	9471084	3	5	1110110
sub-031	28	Simultaneous	86	3527149	3527149	7	7	1111111
sub-031	28	Simultaneous	87	2197806	2197408	4	5	1111010
sub-031	28	Simultaneous	88	2860915	2860915	7	7	1111111
sub-031	28	Simultaneous	89	5976130	5976130	7	7	1111111
sub-031	28	Simultaneous	90	851637	851763	4	4	1111000
sub-031	28	Simultaneous	91	731294	731294	7	7	1111111
