participant_id	event_id	condition	trial	sequence	response	NCorrect	partialScore	triggerCorrect
sub-001	40	Fast	1	5490673	5490673	7	7	1111111
sub-001	40	Fast	2	9561023	9561023	7	7	1111111
sub-001	40	Fast	3	9856734	9857634	3	5	1110011
sub-001	40	Fast	4	4592763	4592730	5	5	1111100
sub-001	40	Fast	5	8152967	8152936	5	5	1111100
sub-001	40	Fast	6	5749612	5749612	7	7	1111111
sub-001	40	Fast	7	9735180	9730000	3	4	1110001
sub-001	40	Fast	8	1497238	1457422	2	3	1101000
sub-001	40	Fast	9	6583197	5591186	0	2	100100
sub-001	40	Fast	10	728359	728657	4	5	1111010
sub-001	40	Fast	11	1260487	1200000	2	3	1101000
sub-001	40	Fast	12	1749062	1749062	7	7	1111111
sub-001	40	Fast	13	4693712	4653712	2	6	1101111
sub-001	40	Fast	14	1385794	1388543	3	3	1110000
sub-001	40	Fast	15	6730189	6730183	6	6	1111110
sub-001	40	Fast	16	7145389	7145389	7	7	1111111
sub-001	40	Fast	17	2105876	2175866	2	5	1101101
sub-001	40	Fast	18	6308521	9308207	0	3	111000
sub-001	40	Fast	19	3918450	3918450	7	7	1111111
sub-001	40	Fast	20	3052481	3052481	7	7	1111111
sub-001	40	Fast	21	5124360	5124460	4	6	1111011
sub-001	40	Fast	22	6317820	3218200	0	2	10001
sub-001	40	Fast	23	6159847	5169870	0	3	101100
sub-001	40	Fast	24	7061589	7061589	7	7	1111111
sub-001	40	Fast	25	1965204	1965204	7	7	1111111
sub-001	40	Fast	26	1352789	1252789	1	6	1011111
sub-001	40	Fast	27	7803451	7803451	7	7	1111111
sub-001	40	Fast	28	7062458	7042608	2	4	1101001
sub-001	40	Fast	29	8149035	8149035	7	7	1111111
sub-001	40	Fast	30	4972316	7952716	0	4	101011
sub-001	40	Fast	31	5681903	5681463	4	5	1111001
sub-001	40	Fast	32	3970168	3970168	7	7	1111111
sub-001	40	Fast	33	1265378	1265398	5	6	1111101
sub-001	40	Fast	34	3248019	3248019	7	7	1111111
sub-001	40	Fast	35	9614753	9614301	4	4	1111000
sub-001	40	Fast	36	7465301	7465301	7	7	1111111
sub-001	40	Fast	37	9870132	9813620	2	2	1100000
sub-001	40	Fast	38	637824	637824	7	7	1111111
sub-001	40	Fast	39	8435261	8435261	7	7	1111111
sub-001	40	Fast	40	8264105	8161035	1	3	1010001
sub-001	40	Fast	41	7503214	7503214	7	7	1111111
sub-001	40	Fast	42	789621	789621	7	7	1111111
sub-001	40	Fast	43	1964830	1964830	7	7	1111111
sub-001	40	Fast	44	7164298	7164298	7	7	1111111
sub-001	40	Fast	45	2617943	2617943	7	7	1111111
sub-001	40	Fast	46	8704563	8604573	1	5	1011101
sub-001	40	Fast	47	2386015	2305615	2	4	1100011
sub-001	40	Fast	48	9024351	9024351	7	7	1111111
sub-001	40	Fast	49	6341028	6341028	7	7	1111111
sub-001	40	Fast	50	4359261	4351261	3	6	1110111
sub-001	60	Fast+delay	51	7281954	7281954	7	7	1111111
sub-001	60	Fast+delay	52	3095217	3095217	7	7	1111111
sub-001	60	Fast+delay	53	5649280	5649280	7	7	1111111
sub-001	60	Fast+delay	54	5803946	5803946	7	7	1111111
sub-001	60	Fast+delay	55	9382760	9382760	7	7	1111111
sub-001	60	Fast+delay	56	2498031	2498031	7	7	1111111
sub-001	60	Fast+delay	57	3425901	3425901	7	7	1111111
sub-001	60	Fast+delay	58	2189046	2189046	7	7	1111111
sub-001	60	Fast+delay	59	6705812	6705812	7	7	1111111
