participant_id	event_id	condition	trial	sequence	response	NCorrect	partialScore	triggerCorrect
sub-035	60	Fast+delay	1	9463278	7364278	0	4	10111
sub-035	60	Fast+delay	2	9150684	9150684	7	7	1111111
sub-035	60	Fast+delay	3	463915	491635	2	3	1100001
sub-035	60	Fast+delay	4	154928	154638	4	5	1111001
sub-035	60	Fast+delay	5	6197380	6197380	7	7	1111111
sub-035	60	Fast+delay	6	547621	547683	5	5	1111100
sub-035	60	Fast+delay	7	6079235	6079235	7	7	1111111
sub-035	60	Fast+delay	8	3917082	591835	0	0	0
sub-035	60	Fast+delay	9	3762854	3762854	7	7	1111111
sub-035	60	Fast+delay	10	1267890	1267890	7	7	1111111
sub-035	60	Fast+delay	11	914758	914758	7	7	1111111
sub-035	60	Fast+delay	12	3429081	3480925	2	2	1100000
sub-035	60	Fast+delay	13	5738196	5738169	5	5	1111100
sub-035	60	Fast+delay	14	4175286	4175286	7	7	1111111
sub-035	60	Fast+delay	15	2641938	2641398	4	5	1111001
sub-035	60	Fast+delay	16	1950764	1950476	4	4	1111000
sub-035	60	Fast+delay	17	3927406	1934012	0	1	100000
sub-035	60	Fast+delay	18	3270614	3270641	5	5	1111100
sub-035	60	Fast+delay	19	9635708	9635702	6	6	1111110
sub-035	60	Fast+delay	20	946187	5176409	0	1	1000
sub-035	60	Fast+delay	21	6802593	6802931	4	4	1111000
sub-035	60	Fast+delay	22	5624897	5624978	4	4	1111000
sub-035	60	Fast+delay	23	8197602	8197602	7	7	1111111
sub-035	60	Fast+delay	24	4758621	4758602	5	5	1111100
sub-035	60	Fast+delay	25	2487396	2487396	7	7	1111111
sub-035	60	Fast+delay	26	9620578	9620781	4	4	1111000
sub-035	60	Fast+delay	27	2980316	2890173	1	2	1001000
sub-035	60	Fast+delay	28	8035796	8073956	2	3	1100001
sub-035	60	Fast+delay	29	3915867	3915687	4	5	1111001
sub-035	60	Fast+delay	30	3841502	3805279	2	2	1100000
sub-035	60	Fast+delay	31	9052386	9052381	6	6	1111110
sub-035	60	Fast+delay	32	1670358	1670358	7	7	1111111
sub-035	60	Fast+delay	33	8712630	8623015	1	1	1000000
sub-035	60	Fast+delay	34	7415392	7458301	2	3	1100100
sub-035	60	Fast+delay	35	4830157	4817539	2	2	1100000
sub-035	60	Fast+delay	36	6073951	6075039	3	3	1110000
sub-035	60	Fast+delay	37	9318706	9310873	3	3	1110000
sub-035	60	Fast+delay	38	4821360	4826310	3	5	1110101
sub-035	60	Fast+delay	39	8093571	8093517	5	5	1111100
sub-035	60	Fast+delay	40	632175	632175	7	7	1111111
sub-035	60	Fast+delay	41	9623780	9623780	7	7	1111111
sub-035	60	Fast+delay	42	7019263	9017263	0	5	110111
sub-035	60	Fast+delay	43	7206543	7206543	7	7	1111111
sub-035	60	Fast+delay	44	2367481	2376810	2	2	1100000
sub-035	60	Fast+delay	45	2059168	2059168	7	7	1111111
sub-035	60	Fast+delay	46	9740138	9734068	2	3	1100001
sub-035	60	Fast+delay	47	3509147	3509147	7	7	1111111
sub-035	60	Fast+delay	48	3850964	3850964	7	7	1111111
sub-035	60	Fast+delay	49	6581207	6581079	4	4	1111000
sub-035	60	Fast+delay	50	6491287	6491287	7	7	1111111
sub-035	28	Simultaneous	51	5921786	5821746	1	5	1011101
sub-035	28	Simultaneous	52	6914358	6914758	4	6	1111011
sub-035	28	Simultaneous	53	6138504	6138504	7	7	1111111
sub-035	28	Simultaneous	54	2058671	2056871	3	5	1110011
sub-035	28	Simultaneous	55	3146580	3146580	7	7	1111111
sub-035	28	Simultaneous	56	4516732	4516732	7	7	1111111
sub-035	28	Simultaneous	57	7916204	7916204	7	7	1111111
sub-035	28	Simultaneous	58	7251934	7251934	7	7	1111111
sub-035	28	Simultaneous	59	8162479	8162479	7	7	1111111
sub-035	28	Simultaneous	60	3978251	3972845	3	3	1110000
sub-035	28	Simultaneous	61	273169	283719	2	4	1101001
sub-035	28	Simultaneous	62	1487620	1487620	7	7	1111111
sub-035	28	Simultaneous	63	2145907	2145907	7	7	1111111
sub-035	28	Simultaneous	64	3956412	3956214	4	5	1111010
sub-035	28	Simultaneous	65	294653	294653	7	7	1111111
sub-035	28	Simultaneous	66	396482	396482	7	7	1111111
sub-035	28	Simultaneous	67	4750961	4750961	7	7	1111111
sub-035	28	Simultaneous	68	6042719	6042719	7	7	1111111
sub-035	28	Simultaneous	69	9842631	9842731	4	6	1111011
sub-035	28	Simultaneous	70	5013268	5013268	7	7	1111111
sub-035	28	Simultaneous	71	6149207	6149207	7	7	1111111
sub-035	28	Simultaneous	72	3467219	3467219	7	7	1111111
sub-035	28	Simultaneous	73	5397480	5347980	2	5	1101011
